임신 주수,수분g,단백질g,지방g,회분g,탄수화물g,당류g,식이섬유g,칼슘mg,철mg,인mg,칼륨mg,나트륨mg,비타민AμgRAE,레티놀μg,베타카로틴μg,티아민mg,리보플라빈mg,니아신mg,비타민Cmg,비타민Dμg,콜레스테롤mg,포화지방산g,트랜스지방산g,니코틴산mg,니코틴아마이드mg,비오틴바이오틴μg,비타민B6mg,비타민B12μg,엽산μgDFE,콜린mg,판토텐산mg,비타민D2μg,비타민D3μg,비타민Emgα-TE,알파토코페롤mg,베타토코페롤mg,감마토코페롤mg,델타토코페롤mg,알파토코트리에놀mg,베타토코트리에놀mg,감마토코트리에놀mg,델타토코트리에놀mg,비타민Kμg,비타민K1μg,비타민K2μg,갈락토오스g,과당g,당알콜g,맥아당g,알룰로오스g,에리스리톨g,유당g,자당g,타가토스g,포도당g,불포화지방g,EPADHAmg,가돌레산mg에이코센산mg,감마리놀렌산mg,네르본산mg,도코사디에노산mg,도코사펜타에노산DPAmg,도코사헥사에노산DHAmg,디호모리놀렌산mg,라우르산mg,리그노세르산mg,리놀레산g,미리스톨레산mg,미리스트산mg,박센산mg,베헨산mg,부티르산mg,스테아르산mg,스테아리돈산mg,아라키돈산mg,아라키드산mg,알파리놀렌산g,에루크산mg,에이코사디에노산mg,에이코사트리에노산mg,에이코사펜타에노산EPAmg,오메가3지방산g,오메가6지방산g,올레산mg,카프로산mg,카프르산mg,카프릴산mg,트라이데칸산mg,트랜스리놀레산mg,트랜스리놀렌산mg,트랜스올레산mg,트리코산산mg,팔미톨레산mg,팔미트산mg,펜타데칸산mg,헨에이코산산mg,헵타데센산mg,헵타데칸산mg,구리μg,마그네슘mg,망간mg,몰리브덴μg,불소mg,셀레늄μg,아연mg,염소mg,요오드μg,크롬μg,아미노산mg,필수아미노산mg,비필수아미노산mg,글루탐산mg,글리신mg,라이신mg,류신루신mg,메티오닌mg,발린mg,세린mg,시스테인mg,아르기닌mg,아스파르트산mg,알라닌mg,이소류신이소루신mg,타우린mg,트레오닌mg,트립토판mg,티로신mg,페닐알라닌mg,프롤린mg,히스티딘mg
22주차,3150,80,80,5.9,345,66,35,1170,42,800,3350,1720,850,780,3250,1.58,1.58,22.0,100,30.0,345,29,0,22.0,23,38,2.4,3.5,680,530,6.8,5.0,5.0,15.0,10.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4260.0,1420.0,2840.0,710.0,2840.0,710.0,710.0,2130.0,710.0,710.0
23주차,3150,80,80,5.9,345,66,35,1170,42,800,3350,1720,850,780,3250,1.58,1.58,22.0,100,30.0,345,29,0,22.0,23,38,2.4,3.5,680,530,6.8,5.0,5.0,15.0,10.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4320.0,1440.0,2880.0,720.0,2880.0,720.0,720.0,2160.0,720.0,720.0
24주차,3150,80,80,5.9,345,66,35,1170,42,800,3350,1720,850,780,3250,1.58,1.58,22.0,100,30.0,345,29,0,22.0,23,38,2.4,3.5,680,530,6.8,5.0,5.0,15.0,10.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4380.0,1460.0,2920.0,730.0,2920.0,730.0,730.0,2190.0,730.0,730.0
25주차,3200,82,82,6.0,350,68,36,1190,44,810,3400,1740,860,790,3300,1.6,1.6,22.5,105,32.0,350,30,0,22.5,24,39,2.5,3.6,690,540,6.9,0.0,32.0,16.0,16.0,1.8,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4440.0,1480.0,2960.0,740.0,2960.0,740.0,740.0,2220.0,740.0,740.0
26주차,3200,82,82,6.0,350,68,36,1190,44,810,3400,1740,860,790,3300,1.6,1.6,22.5,105,32.0,350,30,0,22.5,24,39,2.5,3.6,690,540,6.9,0.0,32.0,16.0,16.0,1.8,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4500.0,1500.0,3000.0,750.0,3000.0,750.0,750.0,2250.0,750.0,750.0
27주차,3200,82,82,6.0,350,68,36,1190,44,810,3400,1740,860,790,3300,1.6,1.6,22.5,105,32.0,350,30,0,22.5,24,39,2.5,3.6,690,540,6.9,0.0,32.0,16.0,16.0,1.8,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4560.0,1520.0,3040.0,760.0,3040.0,760.0,760.0,2280.0,760.0,760.0
28주차,3200,82,82,6.0,350,68,36,1190,44,810,3400,1740,860,790,3300,1.6,1.6,22.5,105,32.0,350,30,0,22.5,24,39,2.5,3.6,690,540,6.9,0.0,32.0,16.0,16.0,1.8,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4620.0,1540.0,3080.0,770.0,3080.0,770.0,770.0,2310.0,770.0,770.0
29주차,3250,84,84,6.1,355,70,37,1300,45,820,3450,1760,870,800,3350,1.62,1.62,23.0,108,35.0,355,31,0,23.0,25,40,2.6,3.7,700,550,7.0,0.0,35.0,17.0,17.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4680.0,1560.0,3120.0,780.0,3120.0,780.0,780.0,2340.0,780.0,780.0
30주차,3250,84,84,6.1,355,70,37,1300,45,820,3450,1760,870,800,3350,1.62,1.62,23.0,108,35.0,355,31,0,23.0,25,40,2.6,3.7,700,550,7.0,0.0,35.0,17.0,17.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4740.0,1580.0,3160.0,790.0,3160.0,790.0,790.0,2370.0,790.0,790.0
31주차,3250,84,84,6.1,355,70,37,1300,45,820,3450,1760,870,800,3350,1.62,1.62,23.0,108,35.0,355,31,0,23.0,25,40,2.6,3.7,700,550,7.0,0.0,35.0,17.0,17.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4800.0,1600.0,3200.0,800.0,3200.0,800.0,800.0,2400.0,800.0,800.0
32주차,3250,84,84,6.1,355,70,37,1300,45,820,3450,1760,870,800,3350,1.62,1.62,23.0,108,35.0,355,31,0,23.0,25,40,2.6,3.7,700,550,7.0,0.0,35.0,17.0,17.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4860.0,1620.0,3240.0,810.0,3240.0,810.0,810.0,2430.0,810.0,810.0
33주차,3300,86,86,6.2,360,72,38,1320,47,830,3500,1780,880,810,3400,1.64,1.64,23.5,110,37.0,360,32,0,23.5,26,41,2.7,3.8,710,560,7.1,0.0,37.0,18.0,18.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4920.0,1640.0000000000002,3280.0000000000005,820.0000000000001,3280.0000000000005,820.0000000000001,820.0000000000001,2460.0,820.0000000000001,820.0000000000001
34주차,3300,86,86,6.2,360,72,38,1320,47,830,3500,1780,880,810,3400,1.64,1.64,23.5,110,37.0,360,32,0,23.5,26,41,2.7,3.8,710,560,7.1,0.0,37.0,18.0,18.0,1.0,1,1,1,1,1,1,90,80,10,5,25,10,5,5,5,12,40,2,10,20,250,5,5,5,5,5,250,5,5,5,10,5,5,5,5,5,5,5,5,5,1.6,5,5,5,250,1.4,13,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,900,350,2.3,50,0.7,60,11,2500,220,30,500,250,250,1500,1000,1500,2000,500,2000,2000,500,2000,4980.0,1660.0000000000002,3320.0000000000005,830.0000000000001,3320.0000000000005,830.0000000000001,830.0000000000001,2490.0,830.0000000000001,830.0000000000001
